feature,importance_mean,importance_std
contract,0.11574672556769758,0.007191906791335145
tenure,0.035584489395231234,0.0027940845768649938
online_security,0.011427962489343713,0.0016853394210498585
total_charges,0.009948719935932382,0.0017366994936719618
internet_service,0.0076420212353717765,0.0027629548762889626
tech_support,0.00619662094086666,0.0022743245886723837
avg_monthly_spend,0.0032684905319178225,0.002860341069608447
payment_method,0.0032004185073240764,0.0015314157144545892
paperless_billing,0.0026380169986309652,0.002077973499073016
monthly_charges,0.0015090805755769376,0.0014331353934358912
streaming_movies,0.0009426748301430532,0.0004938021145880209
multiple_lines,0.0006668991707356131,0.0007223585711302963
senior_citizen,0.00043349091942456174,0.00018944480452873322
num_services,0.00025975871244430235,0.00041131144861470515
tenure_band,0.00014324834017939158,0.0001469616026953856
online_backup,9.209744503875239e-05,0.0005460901268719996
phone_service,8.008473481631029e-05,0.00015722357762353807
gender,3.4488103541963075e-05,0.0005407916105866826
device_protection,2.7383812550163532e-05,4.3381533688373635e-05
streaming_tv,-9.300162752723385e-06,0.0004904644006664825
partner,-6.251776072739857e-05,3.635686565176978e-05
dependents,-0.00016094448319505794,6.0376491369623666e-05
